	pc1	pc2	#SNP	iid	pop
1449	0.044668793233631425	0.017435712703954123	499725	HGDP00884.HO	Russian.HO
1450	0.03674329655991079	0.018977195122030516	491776	HGDP00887.HO	Russian.HO
1451	0.04107574611209323	0.018995624455166973	499140	HGDP00888.HO	Russian.HO
1452	0.039964333921821256	0.021140296059925665	499817	HGDP00889.HO	Russian.HO
1453	0.03697249567073549	0.021133191960873304	499130	HGDP00890.HO	Russian.HO
1454	0.0346694563592378	0.020105191735824073	500062	HGDP00891.HO	Russian.HO
1455	0.03888374807420599	0.018217679413572083	500241	HGDP00892.HO	Russian.HO
1456	0.033264201498776715	0.020680422254964033	500148	HGDP00893.HO	Russian.HO
1457	0.031226381469305713	0.019380685753404132	499051	HGDP00894.HO	Russian.HO
1458	0.02745363020360255	0.02189387388491822	493339	HGDP00895.HO	Russian.HO
1459	0.03399832804568408	0.021963745743245125	500317	HGDP00896.HO	Russian.HO
